,Symbol,Name1,Sector
0,MMM,3M,Industrials
2,ABT,Abbott,Health Care
3,ABBV,AbbVie,Health Care
4,ACN,Accenture,Information Technology
5,ATVI,Activision,Information Technology
6,AYI,Acuity,Industrials
7,ADBE,Adobe,Information Technology
8,AAP,Advance Auto Parts,Consumer Discretionary
9,AMD,AMD,Information Technology
10,AES,AES,Utilities
11,AET,Aetna,Health Care
12,AMG,Affiliated Managers,Financials
13,AFL,AFLAC ,Financials
14,A,Agilent ,Health Care
15,APD,Air Products,Materials
16,AKAM,Akamai,Information Technology
17,ALK,Alaska Air,Industrials
18,ALB,Albemarle,Materials
19,ARE,Alexandria ,Real Estate
20,ALXN,Alexion,Health Care
21,ALGN,Align ,Health Care
22,ALLE,Allegion,Industrials
23,AGN,Allergan,Health Care
24,ADS,Alliance Data Systems,Information Technology
25,LNT,Alliant Energy,Utilities
26,ALL,Allstate,Financials
28,GOOG,Alphabet,Information Technology
28,GOOG,Google,Information Technology
29,MO,Altria,Consumer Staples
30,AMZN,Amazon,Consumer Discretionary
31,AEE,Ameren,Utilities
32,AAL,American Airlines,Industrials
33,AEP,American Electric Powe,Utilities
34,AXP,American Express,Financials
35,AIG,American International,Financials
36,AMT,American Tower,Real Estate
37,AWK,American Water Works,Utilities
38,AMP,Ameriprise,Financials
39,ABC,AmerisourceBergen,Health Care
40,AME,AMETEK,Industrials
41,AMGN,Amgen,Health Care
42,APH,Amphenol,Information Technology
43,APC,Anadarko Petroleum,Energy
44,ADI,Analog Devices,Information Technology
45,ANDV,Andeavo,Energy
46,ANSS,ANSYS,Information Technology
47,ANTM,Anthem,Health Care
48,AON,Aon,Financials
49,APA,Apache oration,Energy
50,AIV,Apartment Investment,Real Estate
51,AAPL,Apple,Information Technology
52,AMAT,Applied Materials,Information Technology
53,APTV,Aptiv,Consumer Discretionary
54,ADM,Archer Daniels,Consumer Staples
55,ARNC,Arconic,Industrials
57,AIZ,Assurant,Financials
58,T,AT&T,Telecommunication Services
59,ADSK,Autodesk,Information Technology
60,ADP,Automatic Data,Information Technology
61,AZO,AutoZone,Consumer Discretionary
62,AVB,AvalonBay,Real Estate
63,AVY,Avery Dennison,Materials
64,BHGE,Baker Hughes,Energy
65,BLL,Ball,Materials
66,BAC,Bank of America,Financials
67,BAX,Baxter,Health Care
68,BBT,BB&T,Financials
69,BDX,Becton,Health Care
70,BRK.B,Berkshire,Financials
71,BBY,Best Buy,Consumer Discretionary
72,BIIB,Biogen,Health Care
73,BLK,BlackRock,Financials
74,HRB,Block H&R,Financials
75,BA,Boeing,Industrials
76,BKNG,Booking Holdings,Consumer Discretionary
77,BWA,BorgWarner,Consumer Discretionary
78,BXP,Boston Properties,Real Estate
79,BSX,Boston Scientific,Health Care
80,BHF,Brighthouse ,Financials
81,BMY,Bristol-Myers Squibb,Health Care
82,AVGO,Broadcom,Information Technology
83,BF.B,Brown-Forman,Consumer Staples
84,CHRW,Robinson Worldwide,Industrials
85,CA,CA Inc,Information Technology
86,COG,Cabot Oil,Energy
87,CDNS,Cadence ,Information Technology
88,CPB,Campbell Soup,Consumer Staples
89,COF,Capital One,Financials
90,CAH,Cardinal ,Health Care
91,KMX,Carmax,Consumer Discretionary
92,CCL,Carnival,Consumer Discretionary
93,CAT,Caterpillar,Industrials
